#,Token,,Price,Change (%),Volume (24H),Circulating Market Cap,Onchain Market Cap,Holders,Id
318,Myria(MYRIA),,$0.00240.000001 ETH,-10.60%,"$973,035.00 ","$52,731,690.00 ","$121,758,399.72 ",318610.01%,0xA0Ef786Bf476fE0810408CaBA05E536aC800ff86
319,AllianceBlock Nexera Token(NXRA),,$0.06630.000021 ETH,-7.88%,"$394,663.00 ","$52,477,771.00 ","$56,373,700.00 ","23,087-0.009%",0x644192291cc835a93d6330b24ea5f5fedd0eef9e
320,Cannation(CNNC),,$20.68580.006641 ETH,-0.15%,$39.00 ,"$51,236,404.00 ","$20,685,758.21 ",1,0xed376501f61046a3f43dac6d5ab51a700dda46fc
321,Victoria VR(VR),,$0.00750.000002 ETH,-4.41%,"$2,029,109.00 ","$51,220,282.00 ","$125,639,808.00 ",132620.01%,0x7d5121505149065b562c789a0145ed750e6e8cdd
322,Bitget Wallet Token(BWB),,$0.37390.000120 ETH,-2.69%,"$2,115,094.00 ","$50,441,110.00 ","$373,858,714.69 ",5030.20%,0xac6DB8954b73EbF10e84278AC8b9B22a781615D9
323,KarratCoin(KARRAT),,$0.47060.000151 ETH,-5.14%,"$1,550,138.00 ","$50,370,905.00 ","$470,603,884.35 ",55450.11%,0xacd2c239012d17beb128b0944d49015104113650
324,Whiteheart Token(WHITE),,"$5,642.621.811582 ETH",--,$56.00 ,"$50,151,607.00 ","$50,151,606.56 ",10830.00%,0x5f0e628b693018f639d10e4a4f59bd4d8b2b6b44
325,GuildFi Token(GF),,$0.19610.000063 ETH,-13.96%,$463.00 ,"$49,448,615.00 ","$196,066,796.23 ","5,999-0.033%",0xaaef88cea01475125522e117bfe45cf32044e238
326,Ankr Staked ETH(ankrETH),,"$3,632.161.166117 ETH",-5.68%,"$33,014.00 ","$49,111,258.00 ","$49,092,274.56 ",21430.05%,0xE95A203B1a91a908F9B9CE46459d101078c2c3cb
327,DEXTools(DEXT),,$0.57230.000184 ETH,-8.13%,"$129,700.00 ","$48,930,507.00 ","$72,998,731.20 ","19,424-0.005%",0xfb7b4564402e5500db5bb6d63ae671302777c75a
328,UndeadServiceToken(UDS),,$1.200.000385 ETH,-0.77%,"$4,155,084.00 ","$48,708,030.00 ","$300,000,000.00 ","3,029-0.033%",0x712bd4beb54c6b958267d9db0259abdbb0bff606
329,QANX Token(QANX),,$0.02850.000009 ETH,-3.41%,"$386,117.00 ","$48,520,499.00 ","$95,138,223.82 ","5,667-0.018%",0xaaa9214f675316182eaa21c85f0ca99160cc3aaa
330,Loom(LOOM),,$0.05780.000019 ETH,-5.98%,"$628,833.00 ","$48,175,766.00 ","$57,775,000.00 ","9,627-34.175%",0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0
331,Compound Dai(cDAI),,$0.02370.000008 ETH,-0.86%,$109.00 ,"$48,173,748.00 ","$48,572,484.78 ",171840.01%,0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643
332,Virtual Protocol(VIRTUAL),,$0.04770.000015 ETH,-10.77%,"$881,190.00 ","$47,667,297.00 ","$47,667,297.23 ",76710.00%,0x44ff8620b8cA30902395A7bD3F2407e1A091BF73
333,Seamless(SEAM),,$2.340.000751 ETH,-3.03%,"$103,177.00 ","$47,580,406.00 ","$8,398,749.06 ",628-0.159%,0x6b66ccd1340c479B07B390d326eaDCbb84E726Ba
334,NOIA Token(NOIA),,$0.05960.000019 ETH,-10.23%,"$13,687.00 ","$47,548,631.00 ","$28,702,307.39 ","15,194-0.099%",0xa8c8CfB141A3bB59FEA1E2ea6B79b5ECBCD7b6ca
335,Alien Worlds Trilium(TLM),,$0.01070.000003 ETH,-7.34%,"$4,328,995.00 ","$47,061,858.00 ","$19,715,174.91 ",57320.07%,0x888888848b652b3e3a0f34c96e00eec0f3a23f72
336,Gitcoin(GTC),,$0.7710.000248 ETH,-7.90%,"$6,618,505.00 ","$47,004,777.00 ","$77,100,400.00 ","94,817-0.012%",0xde30da39c46104798bb5aa3fe8b9e0e1f348163f
337,Maverick Token(MAV),,$0.18680.000060 ETH,-9.51%,"$7,964,461.00 ","$46,755,275.00 ","$360,125,175.23 ","10,503-0.010%",0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd
338,Gelato Network Token(GEL),,$0.19070.000061 ETH,-2.61%,"$112,840.00 ","$46,432,045.00 ","$80,228,107.14 ",36370.00%,0x15b7c0c907e4c6b9adaaaabc300c08991d6cea05
339,Bitgert(BRISE),,$0.000.000000 ETH,-3.34%,"$7,748,461.00 ","$45,163,763.00 ","$385,492.61 ",24120.00%,0xf2b2f7b47715256ce4ea43363a867fdce9353e3a
340,Centrifuge(CFG),,$0.45010.000145 ETH,-9.64%,"$59,398.00 ","$44,916,736.00 ","$44,916,736.49 ",63200.00%,0xc221b7e65ffc80de234bbb6667abdd46593d34f0
341,@EthernityChain $ERN Token(ERN),,$2.070.000665 ETH,-8.37%,"$2,111,502.00 ","$44,803,669.00 ","$62,100,000.00 ","29,657-0.007%",0xbbc2ae13b23d715c30720f079fcd9b4a74093505
342,Gearbox(GEAR),,$0.00820.000003 ETH,-3.75%,"$564,012.00 ","$44,701,279.00 ","$81,735,898.03 ","9,516-0.032%",0xba3335588d9403515223f109edc4eb7269a9ab5d
343,Chainflip(FLIP),,$1.410.000453 ETH,-2.04%,"$947,478.00 ","$44,639,875.00 ","$132,709,721.70 ","4,749-0.063%",0x826180541412D574cf1336d22c0C0a287822678A
344,PaLM AI(PALM),,$0.55870.000179 ETH,-10.88%,"$606,985.00 ","$44,137,132.00 ","$55,869,787.51 ","11,793",0xf1df7305e4bab3885cab5b1e4dfc338452a67891
345,Metadium(META),,$0.02580.000008 ETH,-4.00%,"$945,185.00 ","$43,970,150.00 ","$51,619,920.00 ",41370.00%,0xde2f7766c8bf14ca67193128535e5c7454f8387c
346,Cortex Coin(CTXC),,$0.19660.000063 ETH,-1.10%,"$24,736,052.00 ","$43,790,840.00 ","$58,948,172.75 ",225800.00%,0xea11755ae41d889ceec39a63e6ff75a02bc1c00d
347,Automata(ATA),,$0.08490.000027 ETH,-8.51%,"$1,654,928.00 ","$43,610,715.00 ","$84,898,000.00 ",14350.07%,0xa2120b9e674d3fc3875f415a7df52e382f141225
348,Clover(CLV),,$0.04340.000014 ETH,-6.77%,"$1,497,449.00 ","$43,440,347.00 ","$43,380,020.00 ",165880.02%,0x80c62fe4487e1351b47ba49809ebd60ed085bf52
349,Sai Stablecoin v1.0(SAI),,$15.960.005124 ETH,-6.86%,$81.00 ,"$43,085,268.00 ","$43,016,461.32 ","178,424-0.001%",0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
350,Bean(BEAN),,$0.84720.000272 ETH,-2.28%,"$2,880.00 ","$42,700,617.00 ","$42,700,604.63 ",1840.54%,0xbea0000029ad1c77d3d5d23ba2d8893db9d1efab
351,Onyxcoin(XCN),,$0.00140.000000 ETH,-6.59%,"$3,416,860.00 ","$42,387,108.00 ","$97,306,606.75 ",151730.03%,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18
352,Boson Token(BOSON),,$0.32010.000103 ETH,-5.35%,"$631,014.00 ","$42,145,532.00 ","$64,012,354.70 ",98500.03%,0xc477d038d5420c6a9e0b031712f61c5120090de9
353,Orchid(OXT),,$0.07080.000023 ETH,-8.70%,"$4,024,054.00 ","$41,915,493.00 ","$70,841,000.00 ",463140.02%,0x4575f41308EC1483f3d399aa9a2826d74Da13Deb
354,SmartKey(Skey),,$0.05780.000019 ETH,12.41%,"$749,694.00 ","$41,621,279.00 ","$57,769,000.00 ",106270.11%,0x06A01a4d579479Dd5D884EBf61A31727A3d8D442
355,AI Analysis Token(AIAT),,$0.60720.000195 ETH,-2.98%,"$830,346.00 ","$41,592,978.00 ","$303,618,239.54 ",94530.00%,0x0501b9188436e35bb10f35998c40adc079003866
356,LooksRare Token(LOOKS),,$0.04170.000013 ETH,-9.81%,"$1,853,122.00 ","$41,476,024.00 ","$41,657,210.00 ","74,306-0.004%",0xf4d2888d29d722226fafa5d9b24f9164c092421e
357,Aergo(AERGO),,$0.09250.000030 ETH,-7.57%,"$894,817.00 ","$41,178,830.00 ","$46,268,500.00 ",58670.02%,0x91Af0fBB28ABA7E31403Cb457106Ce79397FD4E6
358,GROK(GROK),,$0.00640.000002 ETH,-7.32%,"$8,471,843.00 ","$40,407,047.00 ","$44,110,242.12 ","19,488-0.051%",0x8390a1DA07E376ef7aDd4Be859BA74Fb83aA02D5
359,Canto(CANTO),,$0.06620.000021 ETH,-4.87%,"$3,490,671.00 ","$40,248,992.00 ","$642,796.22 ",842-0.119%,0x56c03b8c4fa80ba37f5a7b60caaaef749bb5b220
360,CargoX(CXO),,$0.24020.000077 ETH,0.06%,"$133,485.00 ","$40,178,512.00 ","$51,677,826.09 ",40540.03%,0xb6ee9668771a79be7967ee29a63d4184f8097143
361,Route(ROUTE),,$2.500.000803 ETH,-7.10%,"$972,221.00 ","$40,076,847.00 ","$50,000,000.00 ","6,365-0.047%",0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4
362,CarryToken(CRE),,$0.0040.000001 ETH,--,$0.00 ,"$39,841,421.00 ","$39,841,400.00 ",294040.00%,0x115ec79f1de567ec68b7ae7eda501b406626478e
363,Beta Token(BETA),,$0.04790.000015 ETH,-11.24%,"$2,426,298.00 ","$39,697,462.00 ","$47,898,220.00 ",20110.00%,0xbe1a001fe942f96eea22ba08783140b9dcc09d28
364,Meld(MELD),,$0.01030.000003 ETH,-9.91%,"$1,161,296.00 ","$39,435,124.00 ","$2,170,194.61 ",10450.10%,0x333000333b26eE30214B4af6419D9ab07a450400
365,Kenshi(KNS),,$0.04570.000015 ETH,1.81%,"$232,160.00 ","$39,323,437.00 ","$45,681,210.00 ",26,0xf1264873436a0771e440e2b28072fafcc5eebd01
366,EthLend(LEND),,$1.0820.000347 ETH,0.07%,"$9,026.00 ","$38,913,373.00 ","$1,406,599,937.24 ","134,809-0.001%",0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
367,Litentry(LIT),,$0.68290.000219 ETH,-9.88%,"$2,645,450.00 ","$38,843,436.00 ","$68,289,000.00 ",68200.00%,0xb59490ab09a0f526cc7305822ac65f2ab12f9723
368,DIAToken(DIA),,$0.34990.000112 ETH,-5.18%,"$5,743,882.00 ","$38,830,617.00 ","$69,971,800.00 ","22,588-0.009%",0x84cA8bc7997272c7CfB4D0Cd3D55cd942B3c9419
369,THORSwap Token(THOR),,$0.21030.000068 ETH,-10.21%,"$84,936.00 ","$38,492,438.00 ","$105,160,000.00 ",47130.00%,0xa5f2211b9b8170f694421f2046281775e8468044
370,Lovely Finance(LOVELY),,$0.01290.000004 ETH,-0.47%,"$1,956,070.00 ","$38,163,732.00 ","$128,529,590.65 ",3460.29%,0x0f6d4d4643A514132F84F4a270946dB3c7Cb701C
371,MATH Token(MATH),,$0.21530.000069 ETH,-5.33%,"$402,861.00 ","$38,108,765.00 ","$43,062,600.00 ",142570.00%,0x08d967bb0134f2d07f7cfb6e246680c53927dd30
372,EURC(EURC),,$1.0760.000345 ETH,-0.56%,"$3,825,871.00 ","$38,065,715.00 ","$30,611,078.81 ",31160.23%,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c
373,Contentos(COS),,$0.00730.000002 ETH,-6.50%,"$3,060,628.00 ","$37,887,417.00 ","$50,355,936.40 ",41050.00%,0x589891a198195061cb8ad1a75357a3b7dbadd7bc
374,DEAPCOIN(DEP),,$0.00150.000000 ETH,-1.45%,"$1,266,106.00 ","$37,516,828.00 ","$44,876,400.00 ",232370.03%,0x1a3496c18d558bd9c6c8f609e1b129f67ab08163
375,ETH-Peg Thunder Token(TT),,$0.00340.000001 ETH,-5.51%,"$7,172,486.00 ","$37,128,222.00 ","$173,003.99 ",1920.00%,0x1e053d89e08c24aa2ce5c5b4206744dc2d7bd8f5
376,Guild of Guardians(GOG),,$0.060.000019 ETH,-10.79%,"$1,777,102.00 ","$37,003,942.00 ","$59,963,000.00 ",86640.05%,0x9ab7bb7fdc60f4357ecfef43986818a2a3569c62
377,VitaDAO Token(VITA),,$1.430.000459 ETH,-6.07%,"$64,103.00 ","$36,963,315.00 ","$38,923,959.36 ","3,587-0.056%",0x81f8f0bb1cb2a06649e51913a151f0e7ef6fa321
378,Tokemak(TOKE),,$0.8070.000259 ETH,-6.05%,"$101,530.00 ","$36,941,134.00 ","$80,703,500.00 ",64510.00%,0x2e9d63788249371f1dfc918a52f8d799f4a38c94
379,Dimitra Token(DMTR),,$0.07560.000024 ETH,-12.42%,"$658,056.00 ","$36,784,604.00 ","$40,552,333.93 ","8,591-0.058%",0x51cb253744189f11241becb29bedd3f1b5384fdb
380,BLOCKv(VEE),,$0.01110.000004 ETH,-7.09%,"$34,580.00 ","$36,598,677.00 ","$40,383,912.50 ",100900.03%,0x340d2bde5eb28c1eed91b2f790723e3b160613b7
381,LinqAI(LNQ),,$0.19930.000064 ETH,-10.74%,"$2,793,155.00 ","$36,329,499.00 ","$199,340,791.43 ","3,624-0.110%",0xD4F4D0a10BcaE123bB6655E8Fe93a30d01eEbD04
382,DeGate Token(DG),,$0.09370.000030 ETH,-2.67%,"$19,294.00 ","$36,268,854.00 ","$93,666,000.00 ",12980.08%,0x53c8395465a84955c95159814461466053dedede
383,SX Network(SX),,$0.06450.000021 ETH,0.10%,"$47,542.00 ","$36,181,578.00 ","$1,159,656.11 ",2080.96%,0xbe9F61555F50DD6167f2772e9CF7519790d96624
384,Synth sETH(sETH),,"$3,118.981.001359 ETH",-6.23%,"$22,535.00 ","$36,165,660.00 ","$36,130,264.32 ",25710.04%,0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb
385,PlayDapp(PDA),,$0.06060.000019 ETH,-2.23%,"$7,051,579.00 ","$35,973,468.00 ","$42,416,246.03 ",34210.06%,0x0D3CbED3f69EE050668ADF3D9Ea57241cBa33A2B
386,PlayDapp Token(PLA),,$0.06060.000019 ETH,-2.23%,"$7,051,579.00 ","$35,973,468.00 ","$150,880,646.66 ",29380.00%,0x3a4f40631a4f906c2BaD353Ed06De7A5D3fCb430
387,Celo Dollar (Wormhole)(cUSD),,$0.99960.000321 ETH,0.04%,"$3,649,035.00 ","$35,543,360.00 ",$124.95 ,120.00%,0xC22956c3CFeC3Ee9A9925abeE044F05Bc47f6632
388,Wrapped Celo USD(wCUSD),,$0.99960.000321 ETH,0.04%,"$3,649,035.00 ","$35,543,360.00 ","$157,271.30 ",160.00%,0xad3e3fc59dff318beceaab7d00eb4f68b1ecf195
389,FunFair(FUN),,$0.00330.000001 ETH,-5.49%,"$1,066,876.00 ","$35,420,876.00 ","$36,168,149.73 ","91,411-0.008%",0x419d0d8bdd9af5e606ae2232ed285aff190e711b
390,Alchemix(ALCX),,$15.440.004957 ETH,-5.66%,"$2,216,548.00 ","$35,130,326.00 ","$45,413,193.36 ",133650.02%,0xdbdb4d16eda451d0503b854cf79d55697f90c8df
391,Rally(RLY),,$0.00690.000002 ETH,-3.83%,"$1,727,443.00 ","$34,427,569.00 ","$102,971,700.00 ",205220.02%,0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b
392,Linear Token(LINA),,$0.00530.000002 ETH,-7.28%,"$6,701,016.00 ","$34,221,004.00 ","$52,598,400.00 ",161470.01%,0x3E9BC21C9b189C09dF3eF1B824798658d5011937
393,Ampleforth Governance(FORTH),,$3.010.000966 ETH,-8.38%,"$1,313,993.00 ","$34,081,622.00 ","$46,046,669.97 ",262440.00%,0x77fba179c79de5b7653f68b5039af940ada60ce0
394,StaFi(FIS),,$0.32560.000105 ETH,-7.50%,"$2,663,230.00 ","$34,053,037.00 ","$14,298,615.01 ",27710.00%,0xef3A930e1FfFFAcd2fc13434aC81bD278B0ecC8d
395,WeatherXM(WXM),,$0.60350.000194 ETH,-5.76%,"$15,577.00 ","$33,943,476.00 ","$60,350,400.00 ",60.00%,0xde654f497A563dd7A121c176a125dD2F11F13a83
396,Ultra Token(UOS),,$0.08820.000028 ETH,-6.54%,"$1,079,903.00 ","$33,781,703.00 ","$88,188,000.00 ","26,307-0.027%",0xd13c7342e1ef687c5ad21b27c2b65d772cab5c8c
397,Aura(AURA),,$0.67710.000217 ETH,-3.31%,"$135,919.00 ","$33,648,322.00 ","$50,042,023.12 ","4,630-0.173%",0xC0c293ce456fF0ED870ADd98a0828Dd4d2903DBF
398,SHRAPToken(SHRAP),,$0.04980.000016 ETH,-10.38%,"$3,210,572.00 ","$33,642,631.00 ","$2,854,437.32 ","5,565-0.036%",0x31e4efe290973ebe91b3a875a7994f650942d28f
399,Isik Coin(ISIKC),,$0.33440.000107 ETH,1.04%,"$1,024,767.00 ","$33,440,414.00 ","$33,440,414.01 ",12,0x4339bEFb55cfa65344eF6F4bb7F05fAE3458670A
400,ComboToken(COMBO),,$0.47010.000151 ETH,-9.09%,"$2,403,123.00 ","$33,401,584.00 ","$16,453,577.56 ",4940.00%,0xc03fbf20a586fa89c2a5f6f941458e1fbc40c661
401,OMG Network(OMG),,$0.23710.000076 ETH,-8.18%,"$9,948,443.00 ","$33,271,388.00 ","$33,251,622.88 ",6864750.00%,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07
402,Fidu(FIDU),,$0.68460.000220 ETH,--,$136.00 ,"$33,175,079.00 ","$33,175,057.18 ","1,787",0x6a445e9f40e0b97c92d0b8a3366cef1d67f700bf
403,SwftCoin(SWFTC),,$0.00370.000001 ETH,-4.33%,"$2,629,163.00 ","$33,129,074.00 ","$36,900,900.00 ",285410.00%,0x0bb217e40f8a5cb79adf04e1aab60e5abd0dfc1e
404,ECOx(ECOx),,$0.09540.000031 ETH,2.69%,"$9,532.00 ","$33,026,732.00 ","$95,272,966.37 ",16640.00%,0xcccd1ba9f7acd6117834e0d28f25645decb1736a
405,LollyBomb(BOMB),,$0.00330.000001 ETH,-13.96%,"$34,257.00 ","$32,882,892.00 ","$32,882,891.53 ",219,0x6B6EE7393F07B3dD1427b6848d3576F31C313127
406,Vertex(VRTX),,$0.11590.000037 ETH,-3.74%,"$2,066,367.00 ","$32,859,935.00 ","$115,916,000.00 ",10.00%,0xbbee07b3e8121227afcfe1e2b82772246226128e
407,Agoras Token(AGRS),,$1.810.000581 ETH,8.68%,"$294,881.00 ","$32,728,531.00 ","$76,020,000.00 ","6,263-0.032%",0x738865301a9b7dd80dc3666dd48cf034ec42bdda
408,Kin(KIN),,$0.000.000000 ETH,-3.40%,"$202,889.00 ","$32,024,034.00 ","$116,119,072.96 ",487340.00%,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5
409,Cornucopias(COPI),,$0.03540.000011 ETH,-4.35%,"$385,299.00 ","$31,959,655.00 ","$136,063,756.80 ",13050.15%,0x42Baf1f659D765C65ADE5BB7E08eb2C680360d9d
410,SIDUS(SIDUS),,$0.00280.000001 ETH,-8.94%,"$342,026.00 ","$31,357,900.00 ","$60,593,905.53 ","34,116-0.012%",0x549020a9Cb845220D66d3E9c6D9F9eF61C981102
411,ELYSIA(EL),,$0.00460.000001 ETH,-6.12%,"$408,292.00 ","$31,269,968.00 ","$31,319,334.96 ","2,385-0.042%",0x2781246fe707bb15cee3e5ea354e2154a2877b16
412,VAIOT Token(VAI),,$0.09230.000030 ETH,-8.37%,"$601,764.00 ","$31,266,521.00 ","$36,930,800.00 ","15,334-0.007%",0xd13cfd3133239a3c73a9e535a5c4dadee36b395c
413,NUM Token(NUM),,$0.04880.000016 ETH,-4.03%,"$812,398.00 ","$31,159,453.00 ","$11,561,249.95 ",18210.06%,0x3496b523e5c00a4b4150d6721320cddb234c3079
414,Aurora DAO(AURA),,$0.03620.000012 ETH,-6.29%,"$2,523,870.00 ","$31,069,142.00 ","$36,203,010.00 ",419040.00%,0xcdcfc0f66c522fd086a1b725ea3c0eeb9f9e8814
415,IDEX Token(IDEX),,$0.03620.000012 ETH,-6.29%,"$2,523,870.00 ","$31,069,142.00 ","$36,203,010.00 ",158550.01%,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae
416,[FCT] FirmaChain Token(FCT),,$0.03470.000011 ETH,-6.87%,"$929,906.00 ","$30,526,171.00 ","$20,793,060.00 ",124980.00%,0xe1bad922f84b198a08292fb600319300ae32471b
417,Euro Tether(EURT),,$1.0470.000336 ETH,-1.14%,"$4,572,910.00 ","$30,483,381.00 ","$418,800,052.35 ",13040.08%,0xC581b735A1688071A1746c968e0798D642EDE491
418,Polytrade(TRADE),,$0.81890.000263 ETH,-6.51%,"$1,434,592.00 ","$30,475,997.00 ","$81,891,200.00 ",36560.03%,0x6e5970dbd6fc7eb1f29c6d2edf2bc4c36124c0c1
419,VERA(VRA),,$0.00310.000001 ETH,-9.17%,"$5,884,028.00 ","$30,380,740.00 ","$302,980,223.22 ",952350.03%,0xf411903cbc70a74d22900a5de66a2dda66507255
420,Rigo Token(GRG),,$4.690.001506 ETH,-13.37%,$241.00 ,"$30,199,722.00 ","$49,448,499.10 ",14860.00%,0x4fbb350052bca5417566f188eb2ebce5b19bc964
421,(DEL),,$0.00290.000001 ETH,1.91%,"$181,711.00 ","$30,089,167.00 ","$1,227.71 ",39,0xec6432b90e7fd4d9f872cc5c781f05b617db861e
422,HOPR Token(HOPR),,$0.06560.000021 ETH,6.46%,"$273,818.00 ","$29,919,589.00 ","$31,788,590.89 ",70400.01%,0xf5581dfefd8fb0e4aec526be659cfab1f8c781da
423,Zedxion(Zedxion),,$0.23970.000077 ETH,-3.87%,"$751,809.00 ","$29,524,625.00 ","$1,137,569,592.26 ",3920.00%,0xbafdabadcf19d0cfbbe0ab9c69cf050d86ff888c
424,Layer3(L3),,$0.07890.000025 ETH,-13.24%,"$38,838,829.00 ","$29,440,747.00 ","$263,106,666.64 ",324080.20%,0x88909d489678dd17aa6d9609f89b0419bf78fd9a
425,Nuls(NULS),,$0.26750.000086 ETH,-9.40%,"$1,558,331.00 ","$29,235,787.00 ","$11,537.72 ",1240.00%,0xa2791bdf2d5055cda4d46ec17f9f429568275047
426,AMATERASU OMIKAMI(OMIKAMI),,$0.02890.000009 ETH,-7.76%,"$110,170.00 ","$29,227,173.00 ","$28,914,570.00 ","6,990-0.043%",0x9e18d5BAB2FA94a6A95F509Ecb38F8F68322AbD3
427,Reef.finance(REEF),,$0.00130.000000 ETH,-6.49%,"$10,446,484.00 ","$29,160,021.00 ","$11,427,176.25 ",225600.00%,0xfe3e6a25e6b192a42a44ecddcd13796471735acf
428,Wrapped Commune AI(wCOMAI),,$0.2890.000093 ETH,-7.65%,"$41,025.00 ","$29,114,399.00 ","$2,593,882.75 ","3,377-0.089%",0xc78B628b060258300218740B1A7a5b3c82b3bd9f
429,SelfKey(KEY),,$0.00480.000002 ETH,-7.91%,"$3,120,473.00 ","$29,060,248.00 ","$29,036,999.78 ",186520.01%,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7
430,CEEK(CEEK),,$0.03260.000010 ETH,-3.03%,"$1,379,259.00 ","$28,941,036.00 ","$32,591,920.00 ","23,357-0.004%",0xb056c38f6b7dc4064367403e26424cd2c60655e1
431,MON(MON),,$0.19930.000064 ETH,-6.51%,"$8,977,309.00 ","$28,509,743.00 ","$199,330,000.00 ",853900.00%,0xc555d625828c4527d477e595ff1dd5801b4a600e
432,Moon Tropica(CAH),,$12.73120.004087 ETH,-13.86%,"$212,392.00 ","$28,470,278.00 ","$44,559,027.37 ","6,975-0.014%",0x8e0e57dcb1ce8d9091df38ec1bfc3b224529754a
433,Stratos Token(STOS),,$0.43550.000140 ETH,1.92%,"$222,906.00 ","$27,976,232.00 ","$12,045,266.13 ","7,549-0.013%",0x08c32b0726c5684024ea6e141c50ade9690bbdcc
434,XSGD(XSGD),,$0.74750.000240 ETH,-0.10%,"$663,700.00 ","$27,857,696.00 ","$14,035,830.34 ",22050.00%,0x70e8de73ce538da2beed35d14187f6959a8eca96
435,Mai Stablecoin(MAI),,$0.99470.000319 ETH,-0.31%,"$29,444.00 ","$27,417,119.00 ","$11,140,455.71 ",2220.00%,0x8D6CeBD76f18E1558D4DB88138e2DeFB3909fAD6
436,Star Atlas (Wormhole)(ATLAS),,$0.00160.000001 ETH,-5.63%,"$1,589,066.00 ","$27,004,257.00 ",$89.00 ,50.00%,0xb9f747162ab1e95d07361f9048bcdf6edda9eea7
437,Botto(BOTTO),,$0.6240.000200 ETH,-2.65%,"$154,986.00 ","$26,875,325.00 ","$62,399,400.00 ","4,648-2.173%",0x9dfad1b7102d46b1b197b90095b5c4e9f5845bba
438,Singularity Dao(SDAO),,$0.29660.000095 ETH,-4.51%,"$294,767.00 ","$26,866,223.00 ","$29,656,200.00 ",154720.03%,0x993864e43caa7f7f12953ad6feb1d1ca635b875f
439,AscendEX token(ASD),,$0.04030.000013 ETH,1.17%,"$1,415,298.00 ","$26,624,909.00 ","$29,944,610.73 ",8840.00%,0xff742d05420b6aca4481f635ad8341f81a6300c2
440,BitMax token(BTMX),,$0.04030.000013 ETH,1.17%,"$1,415,298.00 ","$26,624,909.00 ","$29,977,478.63 ",7420.00%,0xcca0c9c383076649604eE31b20248BC04FdF61cA
441,SENTINEL PROTOCOL(UPP),,$0.05320.000017 ETH,-4.29%,"$385,224.00 ","$26,467,468.00 ","$26,588,000.00 ",187240.00%,0xc86d054809623432210c107af2e3f619dcfbf652
442,Azuro(AZUR),,$0.16350.000052 ETH,-6.95%,"$2,571,219.00 ","$26,457,055.00 ","$163,516,475.83 ","4,019",0x9E6be44cC1236eEf7e1f197418592D363BedCd5A
443,Nectar(NCT),,$0.01530.000005 ETH,-3.26%,"$10,494.00 ","$26,427,638.00 ","$28,867,765.75 ",82390.01%,0x9e46a38f5daabe8683e10793b06749eef7d733d1
444,Impossible Decentralized Incubat(IDIA),,$0.03860.000012 ETH,-1.58%,"$13,670.00 ","$26,278,736.00 ","$5,106,583.39 ",50.00%,0xf09dea9375ecd3500c565973d21822f0383f1099
445,Impossible Decentralized Incubator Access Token(IDIA),,$0.03860.000012 ETH,-1.58%,"$13,670.00 ","$26,278,736.00 ",$1.35 ,1,0x0b15ddf19d47e6a86a56148fb4afffc6929bcb89
446,Ice(ICE),,$0.00390.000001 ETH,0.40%,"$4,548,933.00 ","$26,201,727.00 ","$328,769.11 ",6680.45%,0x79f05c263055ba20ee0e814acd117c20caa10e0c
447,QuickSwap(QUICK),,$0.03640.000012 ETH,-5.13%,"$2,572,004.00 ","$26,181,892.00 ","$36,375,390.00 ",4350.00%,0xd2ba23de8a19316a638dc1e7a9adda1d74233368
448,Kondux(KNDX),,$0.04680.000015 ETH,-15.24%,"$114,814.00 ","$25,899,568.00 ","$46,788,650.00 ",107030.09%,0x7ca5af5ba3472af6049f63c1abc324475d44efc1
449,Streamr(DATA),,$0.03370.000011 ETH,-5.27%,"$1,655,502.00 ","$25,856,235.00 ","$37,409,225.34 ",47610.00%,0x8f693ca8d21b157107184d29d398a8d082b38b76
450,Compound Basic Attention Token(cBAT),,$0.00380.000001 ETH,-6.20%,$0.00 ,"$25,744,587.00 ","$25,769,589.24 ",51870.02%,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e
451,Keep3rV1(KP3R),,$49.890.016017 ETH,-6.35%,"$1,947,640.00 ","$25,477,826.00 ","$25,465,402.59 ",84670.01%,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44
452,XIDO FINANCE(XIDO),,$0.89970.000289 ETH,-1.37%,$10.00 ,"$25,474,100.00 ","$89,968,500.00 ",24230.00%,0xf6650117017ffd48b725b4ec5a00b414097108a7
453,Gifto(GTO),,$0.02550.000008 ETH,6.65%,"$11,518,993.00 ","$25,266,060.00 ","$25,481,450.00 ",1116780.00%,0xc5bbae50781be1669306b9e001eff57a2957b09d
